,ot_ref,nt_ref,nt_text
106,Ps 69:4,Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause."
97,Ps 69:9,Joh 2:17,"And his disciples remembered that it was written, The zeal of thine house hath eaten me up."
198,Ps 69:9,Ro 15:3,"For even Christ pleased not himself; but, as it is written, The reproaches of them that reproached thee fell on me."
188,"Ps 69:22,23","Ro 11:9,10","And David saith, Let their table be made a snare, and a trap, and a stumblingblock, and a recompence unto them:"
113,Ps 69:25,Ac 1:20,"For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take."
24,Ps 78:2,Mt 13:35,"That it might be fulfilled which was spoken by the prophet, saying, I will open my mouth in parables; I will utter things which have been kept secret from the foundation of the world."
98,Ps 78:24,Joh 6:31,"Our fathers did eat manna in the desert; as it is written, He gave them bread from heaven to eat."
101,Ps 82:6,Joh 9:31,"Now we know that God heareth not sinners: but if any man be a worshipper of God, and doeth his will, him he heareth."
304,Ps 86:9,Re 15:4,"Who shall not fear thee, O Lord, and glorify thy name? for thou only art holy: for all nations shall come and worship before thee; for thy judgments are made manifest."
134,Ps 89:20,Ac 13:22,"And when he had removed him, he raised up unto them David to be their king; to whom also he gave their testimony, and said, I have found David the son of Jesse, a man after mine own heart, which shall fulfil all my will."
6,"Ps 91:11,12",Mt 4:6,"And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone."
79,"Ps 91:11,12","Lu 4:10,11","For it is written, He shall give his angels charge over thee, to keep thee:"
209,Ps 94:11,1Co 3:20,"And again, The Lord knoweth the thoughts of the wise, that they are vain."
262,Ps 95:7-11,Heb 3:7-11,"Wherefore (as the Holy Ghost saith, To day if ye will hear his voice,"
263,Ps 95:7-11,Heb 3:15,"While it is said, To day if ye will hear his voice, harden not your hearts, as in the provocation."
266,"Ps 95:7,8",Heb 4:7,"Again, he limiteth a certain day, saying in David, To day, after so long a time; as it is said, To day if ye will hear his voice, harden not your hearts."
264,Ps 95:11,Heb 4:3,"For we which have believed do enter into rest, as he said, As I have sworn in my wrath, if they shall enter into my rest: although the works were finished from the foundation of the world."
252,Ps 97:7,Heb 1:6,"And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him."
255,"Ps 102:25,26,27","Heb 1:10,11,12","And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:"
253,Ps 104:4,Heb 1:7,"And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire."
107,Ps 109:3,Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause."
114,Ps 109:8,Ac 1:20,"For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take."
42,Ps 110:1,Mt 22:44,"The LORD said unto my Lord, Sit thou on my right hand, till I make thine enemies thy footstool?"
68,Ps 110:1,Mr 12:36,"For David himself said by the Holy Ghost, The LORD said to my Lord, Sit thou on my right hand, till I make thine enemies thy footstool."
93,Ps 110:1,"Lu 20:42,43","And David himself saith in the book of Psalms, The LORD said unto my Lord, Sit thou on my right hand,"
118,Ps 110:1,Ac 2:34,"For David is not ascended into the heavens: but he saith himself, The Lord said unto my Lord, Sit thou on my right hand,"
216,Ps 110:1,1Co 15:25,"For he must reign, till he hath put all enemies under his feet."
256,Ps 110:1,Heb 1:13,"But to which of the angels said he at any time, Sit on my right hand, until I make thine enemies thy footstool?"
268,Ps 110:4,Heb 5:6,"As he saith also in another place, Thou art a priest for ever after the order of Melchisedec."
270,Ps 110:4,"Heb 7:17,21","For he testifieth, Thou art a priest for ever after the order of Melchisedec."
230,Ps 112:9,2Co 9:9,"(As it is written, He hath dispersed abroad; he hath given to the poor: his righteousness remaineth for ever."
222,Ps 116:10,2Co 4:13,"We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak;"
145,Ps 116:11,Ro 3:4,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged."
201,Ps 117:1,Ro 15:11,"And again, Praise the Lord, all ye Gentiles; and laud him, all ye people."
286,Ps 118:6,Heb 13:6,"So that we may boldly say, The Lord is my helper, and I will not fear what man shall do unto me."
37,"Ps 118:22,23",Mt 21:42,"Jesus saith unto them, Did ye never read in the scriptures, The stone which the builders rejected, the same is become the head of the corner: this is the Lord's doing, and it is marvellous in our eyes?"
63,"Ps 118:22,23","Mr 12:10,11",And have ye not read this scripture; The stone which the builders rejected is become the head of the corner:
91,"Ps 118:22,23",Lu 20:17,"And he beheld them, and said, What is this then that is written, The stone which the builders rejected, the same is become the head of the corner?"
121,"Ps 118:22,23",Ac 4:11,"This is the stone which was set at nought of you builders, which is become the head of the corner."
294,"Ps 118:22,23",1Pe 2:7,"Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,"
33,Ps 118:26,Mt 21:9,"And the multitudes that went before, and that followed, cried, saying, Hosanna to the son of David: Blessed is he that cometh in the name of the Lord; Hosanna in the highest."
60,Ps 118:26,Mr 11:9,"And they that went before, and they that followed, cried, saying, Hosanna; Blessed is he that cometh in the name of the Lord:"
150,Ps 140:3,Ro 3:13,Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:
191,Pr 3:7,Ro 12:16,"Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits."
279,"Pr 3:11,12","Heb 12:5,6","And ye have forgotten the exhortation which speaketh unto you as unto children, My son, despise not thou the chastening of the Lord, nor faint when thou art rebuked of him:"
290,Pr 3:34,Jas 4:6,"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble."
299,Pr 10:12,1Pe 4:8,And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.
56,Pr 20:20,Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:"
193,"Pr 25:21,22",Ro 12:20,"Therefore if thine enemy hunger, feed him; if he thirst, give him drink: for in so doing thou shalt heap coals of fire on his head."
300,Pr 26:11,2Pe 2:22,"But it is happened unto them according to the true proverb, The dog is turned to his own vomit again; and the sow that was washed to her wallowing in the mire."
171,Isa 1:9,Ro 9:29,"And as Esaias said before, Except the Lord of Sabaoth had left us a seed, we had been as Sodoma, and been made like unto Gomorrha."
23,"Isa 6:9,10",Mt 13:14,"And in them is fulfilled the prophecy of Esaias, which saith, By hearing ye shall hear, and shall not understand; and seeing ye shall see, and shall not perceive:"
51,Isa 6:9,Mr 4:12,"That seeing they may see, and not perceive; and hearing they may hear, and not understand; lest at any time they should be converted, and their sins should be forgiven them."
83,Isa 6:9,Lu 8:10,"And he said, Unto you it is given to know the mysteries of the kingdom of God: but to others in parables; that seeing they might not see, and hearing they might not understand."
104,Isa 6:9,Joh 12:40,"He hath blinded their eyes, and hardened their heart; that they should not see with their eyes, nor understand with their heart, and be converted, and I should heal them."
141,"Isa 6:9,10","Ac 28:26,27","Saying, Go unto this people, and say, Hearing ye shall hear, and shall not understand; and seeing ye shall see, and not perceive:"
0,Isa 7:14,Mt 1:23,"Behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with us."
172,Isa 8:14,Ro 9:33,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed."
259,Isa 8:18,Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me."
10,"Isa 9:1,2","Mt 4:15,16","The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles;"
170,"Isa 10:22,23","Ro 9:27,28","Esaias also crieth concerning Israel, Though the number of the children of Israel be as the sand of the sea, a remnant shall be saved:"
202,"Isa 11:1,10",Ro 15:12,"And again, Esaias saith, There shall be a root of Jesse, and he that shall rise to reign over the Gentiles; in him shall the Gentiles trust."
305,Isa 21:9,Re 18:2,"And he cried mightily with a strong voice, saying, Babylon the great is fallen, is fallen, and is become the habitation of devils, and the hold of every foul spirit, and a cage of every unclean and hateful bird."
218,Isa 22:13,1Co 15:32,"If after the manner of men I have fought with beasts at Ephesus, what advantageth it me, if the dead rise not? let us eat and drink; for to morrow we die."
220,Isa 25:8,1Co 15:54,"So when this corruptible shall have put on incorruption, and this mortal shall have put on immortality, then shall be brought to pass the saying that is written, Death is swallowed up in victory."
302,Isa 25:8,Re 7:17,"For the Lamb which is in the midst of the throne shall feed them, and shall lead them unto living fountains of waters: and God shall wipe away all tears from their eyes."
215,"Isa 28:11,12",1Co 14:21,"In the law it is written, With men of other tongues and other lips will I speak unto this people; and yet for all that will they not hear me, saith the Lord."
173,Isa 28:16,Ro 9:33,"As it is written, Behold, I lay in Sion a stumblingstone and rock of offence: and whosoever believeth on him shall not be ashamed."
177,Isa 28:16,Ro 10:11,"For the scripture saith, Whosoever believeth on him shall not be ashamed."
293,Isa 28:16,1Pe 2:6,"Wherefore also it is contained in the scripture, Behold, I lay in Sion a chief corner stone, elect, precious: and he that believeth on him shall not be confounded."
187,Isa 29:10,Ro 11:8,"(According as it is written, God hath given them the spirit of slumber, eyes that they should not see, and ears that they should not hear;) unto this day."
28,Isa 29:13,"Mt 15:8,9","This people draweth nigh unto me with their mouth, and honoureth me with their lips; but their heart is far from me."
52,Isa 29:13,"Mr 7:6,7","He answered and said unto them, Well hath Esaias prophesied of you hypocrites, as it is written, This people honoureth me with their lips, but their heart is far from me."
204,Isa 29:14,1Co 1:19,"For it is written, I will destroy the wisdom of the wise, and will bring to nothing the understanding of the prudent."
4,Isa 40:3,Mt 3:3,"For this is he that was spoken of by the prophet Esaias, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight."
50,Isa 40:3,"Mr 1:2,3","As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee."
75,"Isa 40:3,4,5","Lu 3:4,5,6","As it is written in the book of the words of Esaias the prophet, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight."
96,Isa 40:3,Joh 1:23,"He said, I am the voice of one crying in the wilderness, Make straight the way of the Lord, as said the prophet Esaias."
292,Isa 40:6,"1Pe 1:24,25","For all flesh is as grass, and all the glory of man as the flower of grass. The grass withereth, and the flower thereof falleth away:"
190,Isa 40:13,Ro 11:34,For who hath known the mind of the Lord? or who hath been his counsellor?
207,Isa 40:13,1Co 2:16,"For who hath known the mind of the Lord, that he may instruct him? But we have the mind of Christ."
21,Isa 42:1,Mt 12:18,"Behold my servant, whom I have chosen; my beloved, in whom my soul is well pleased: I will put my spirit upon him, and he shall shew judgment to the Gentiles."
22,Isa 42:1-4,Mt 12:18-21,"Behold my servant, whom I have chosen; my beloved, in whom my soul is well pleased: I will put my spirit upon him, and he shall shew judgment to the Gentiles."
11,Isa 42:7,"Mt 4:15,16","The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles;"
223,"Isa 43:18,19",2Co 5:17,"Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new."
197,Isa 45:23,Ro 14:11,"For it is written, As I live, saith the Lord, every knee shall bow to me, and every tongue shall confess to God."
139,Isa 49:6,Ac 13:47,"For so hath the Lord commanded us, saying, I have set thee to be a light of the Gentiles, that thou shouldest be for salvation unto the ends of the earth."
224,Isa 49:8,2Co 6:2,"(For he saith, I have heard thee in a time accepted, and in the day of salvation have I succoured thee: behold, now is the accepted time; behold, now is the day of salvation.)"
301,Isa 49:10,Re 7:16,"They shall hunger no more, neither thirst any more; neither shall the sun light on them, nor any heat."
143,Isa 52:5,Ro 2:24,"For the name of God is blasphemed among the Gentiles through you, as it is written."
179,Isa 52:7,Ro 10:15,"And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!"
226,"Isa 52:11,12","2Co 6:17,18","Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you."
203,Isa 52:15,Ro 15:21,"But as it is written, To whom he was not spoken of, they shall see: and they that have not heard shall understand."
103,Isa 53:1,Joh 12:38,"That the saying of Esaias the prophet might be fulfilled, which he spake, Lord, who hath believed our report? and to whom hath the arm of the Lord been revealed?"
181,Isa 53:1,Ro 10:16,"But they have not all obeyed the gospel. For Esaias saith, Lord, who hath believed our report?"
17,Isa 53:4,Mt 8:17,"That it might be fulfilled which was spoken by Esaias the prophet, saying, Himself took our infirmities, and bare our sicknesses."
297,"Isa 53:4,5",1Pe 2:24,"Who his own self bare our sins in his own body on the tree, that we, being dead to sins, should live unto righteousness: by whose stripes ye were healed."
132,"Isa 53:7,8","Ac 8:32,33","The place of the scripture which he read was this, He was led as a sheep to the slaughter; and like a lamb dumb before his shearer, so opened he not his mouth:"
296,Isa 53:9,1Pe 2:22,"Who did no sin, neither was guile found in his mouth:"
70,Isa 53:12,Mr 15:28,"And the scripture was fulfilled, which saith, And he was numbered with the transgressors."
94,Isa 53:12,Lu 22:37,"For I say unto you, that this that is written must yet be accomplished in me, And he was reckoned among the transgressors: for the things concerning me have an end."
240,Isa 54:1,Ga 4:27,"For it is written, Rejoice, thou barren that bearest not; break forth and cry, thou that travailest not: for the desolate hath many more children than she which hath an husband."
99,Isa 54:13,Joh 6:45,"It is written in the prophets, And they shall be all taught of God. Every man therefore that hath heard, and hath learned of the Father, cometh unto me."
34,Isa 56:7,Mt 21:13,"And said unto them, It is written, My house shall be called the house of prayer; but ye have made it a den of thieves."
61,Isa 56:7,Mr 11:17,"And he taught, saying unto them, Is it not written, My house shall be called of all nations the house of prayer? but ye have made it a den of thieves."
89,Isa 56:7,Lu 19:46,"Saying unto them, It is written, My house is the house of prayer: but ye have made it a den of thieves."
152,"Isa 59:7,8",Ro 3:15-18,Their feet are swift to shed blood:
189,"Isa 59:20,21","Ro 11:26,27","And so all Israel shall be saved: as it is written, There shall come out of Sion the Deliverer, and shall turn away ungodliness from Jacob:"
81,"Isa 61:1,2","Lu 4:18,19","The Spirit of the Lord is upon me, because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted, to preach deliverance to the captives, and recovering of sight to the blind, to set at liberty them that are bruised,"
206,Isa 64:4,1Co 2:9,"But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man, the things which God hath prepared for them that love him."
184,"Isa 65:1,2","Ro 10:20,21","But Esaias is very bold, and saith, I was found of them that sought me not; I was made manifest unto them that asked not after me."
131,"Isa 66:1,2","Ac 7:49,50","Heaven is my throne, and earth is my footstool: what house will ye build me? saith the Lord: or what is the place of my rest?"
35,Jer 7:11,Mt 21:13,"And said unto them, It is written, My house shall be called the house of prayer; but ye have made it a den of thieves."
62,Jer 7:11,Mr 11:17,"And he taught, saying unto them, Is it not written, My house shall be called of all nations the house of prayer? but ye have made it a den of thieves."
90,Jer 7:11,Lu 19:46,"Saying unto them, It is written, My house is the house of prayer: but ye have made it a den of thieves."
205,Jer 9:24,1Co 1:31,"That, according as it is written, He that glorieth, let him glory in the Lord."
231,Jer 9:24,2Co 10:17,"But he that glorieth, let him glory in the Lord."
303,Jer 10:6,Re 15:4,"Who shall not fear thee, O Lord, and glorify thy name? for thou only art holy: for all nations shall come and worship before thee; for thy judgments are made manifest."
43,Jer 30:7,Mt 24:21,"For then shall be great tribulation, such as was not since the beginning of the world to this time, no, nor ever shall be."
227,Jer 31:9,"2Co 6:17,18","Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you."
3,Jer 31:15,Mt 2:18,"In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not."
272,Jer 31:31-34,Heb 8:8-12,"For finding fault with them, he saith, Behold, the days come, saith the Lord, when I will make a new covenant with the house of Israel and with the house of Judah:"
275,"Jer 31:33,34","Heb 10:16,17","This is the covenant that I will make with them after those days, saith the Lord, I will put my laws into their hearts, and in their minds will I write them;"
306,Jer 51:7,Re 18:3,"For all nations have drunk of the wine of the wrath of her fornication, and the kings of the earth have committed fornication with her, and the merchants of the earth are waxed rich through the abundance of her delicacies."
175,Eze 20:11,Ro 10:5,"For Moses describeth the righteousness which is of the law, That the man which doeth those things shall live by them."
144,Eze 36:20,Ro 2:24,"For the name of God is blasphemed among the Gentiles through you, as it is written."
169,Ho 1:10,Ro 9:26,"And it shall come to pass, that in the place where it was said unto them, Ye are not my people; there shall they be called the children of the living God."
168,Ho 2:23,Ro 9:25,"As he saith also in Osee, I will call them my people, which were not my people; and her beloved, which was not beloved."
18,Ho 6:6,Mt 9:13,"But go ye and learn what that meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance."
20,Ho 6:6,Mt 12:7,"But if ye had known what this meaneth, I will have mercy, and not sacrifice, ye would not have condemned the guiltless."
2,Ho 11:1,Mt 2:15,"And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son."
221,Ho 13:14,1Co 15:55,"O death, where is thy sting? O grave, where is thy victory?"
115,Joe 2:28-32,Ac 2:17-21,"And it shall come to pass in the last days, saith God, I will pour out of my Spirit upon all flesh: and your sons and your daughters shall prophesy, and your young men shall see visions, and your old men shall dream dreams:"
178,Joe 2:32,Ro 10:13,For whosoever shall call upon the name of the Lord shall be saved.
1,Mic 5:2,Mt 2:6,"And thou Bethlehem, in the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor, that shall rule my people Israel."
180,Na 1:15,Ro 10:15,"And how shall they preach, except they be sent? as it is written, How beautiful are the feet of them that preach the gospel of peace, and bring glad tidings of good things!"
138,Hab 1:5,Ac 13:41,"Behold, ye despisers, and wonder, and perish: for I work a work in your days, a work which ye shall in no wise believe, though a man declare it unto you."
277,"Hab 2:3,4","Heb 10:37,38","For yet a little while, and he that shall come will come, and will not tarry."
142,Hab 2:4,Ro 1:17,"For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith."
236,Hab 2:4,Ga 3:11,"But that no man is justified by the law in the sight of God, it is evident: for, The just shall live by faith."
282,Hag 2:6,Heb 12:26,"Whose voice then shook the earth: but now he hath promised, saying, Yet once more I shake not the earth only, but also heaven."
244,Zec 8:16,Eph 4:25,"Wherefore putting away lying, speak every man truth with his neighbour: for we are members one of another."
32,Zec 9:9,Mt 21:5,"Tell ye the daughter of Sion, Behold, thy King cometh unto thee, meek, and sitting upon an ass, and a colt the foal of an ass."
102,Zec 9:9,"Joh 12:14,15","And Jesus, when he had found a young ass, sat thereon; as it is written,"
46,Zec 11:13,"Mt 27:9,10","Then was fulfilled that which was spoken by Jeremy the prophet, saying, And they took the thirty pieces of silver, the price of him that was valued, whom they of the children of Israel did value;"
112,Zec 12:10,Joh 19:37,"And again another scripture saith, They shall look on him whom they pierced."
45,Zec 13:7,Mt 26:31,"Then saith Jesus unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep of the flock shall be scattered abroad."
69,Zec 13:7,Mr 14:27,"And Jesus saith unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep shall be scattered."
165,"Mal 1:2,3",Ro 9:13,"As it is written, Jacob have I loved, but Esau have I hated."
19,Mal 3:1,Mt 11:10,"For this is he, of whom it is written, Behold, I send my messenger before thy face, which shall prepare thy way before thee."
49,Mal 3:1,"Mr 1:2,3","As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee."
82,Mal 3:1,Lu 7:27,"This is he, of whom it is written, Behold, I send my messenger before thy face, which shall prepare thy way before thee."
72,"Mal 4:5,6",Lu 1:17,"And he shall go before him in the spirit and power of Elias, to turn the hearts of the fathers to the children, and the disobedient to the wisdom of the just; to make ready a people prepared for the Lord."
