,nt_ref,ot_ref,ot_text
152,Ro 3:15-18,"Isa 59:7,8","Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; wasting and destruction are in their paths."
153,Ro 3:18,Ps 36:1,"The transgression of the wicked saith within my heart, that there is no fear of God before his eyes."
154,Ro 4:3,Ge 15:6,And he believed in the LORD; and he counted it to him for righteousness.
155,"Ro 4:7,8","Ps 32:1,2","Blessed is he whose transgression is forgiven, whose sin is covered."
156,Ro 4:11,Ge 17:10,"This is my covenant, which ye shall keep, between me and you and thy seed after thee; Every man child among you shall be circumcised."
157,Ro 4:17,Ge 17:5,"Neither shall thy name any more be called Abram, but thy name shall be Abraham; for a father of many nations have I made thee."
158,Ro 4:18,Ge 15:5,"And he brought him forth abroad, and said, Look now toward heaven, and tell the stars, if thou be able to number them: and he said unto him, So shall thy seed be."
159,Ro 7:7,Ex 20:17,"Thou shalt not covet thy neighbor's house, thou shalt not covet thy neighbor's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbor's."
160,Ro 7:7,De 5:21,"Neither shalt thou desire thy neighbor's wife, neither shalt thou covet thy neighbor's house, his field, or his manservant, or his maidservant, his ox, or his ass, or any thing that is thy neighbor's."
161,Ro 8:36,Ps 44:22,"Yea, for thy sake are we killed all the day long; we are counted as sheep for the slaughter."
162,Ro 9:7,Ge 21:12,"And God said unto Abraham, Let it not be grievous in thy sight because of the lad, and because of thy bondwoman; in all that Sarah hath said unto thee, hearken unto her voice; for in Isaac shall thy seed be called."
163,Ro 9:9,Ge 18:10,"And he said, I will certainly return unto thee according to the time of life; and, lo, Sarah thy wife shall have a son. And Sarah heard it in the tent door, which was behind him."
164,Ro 9:12,Ge 25:23,"And the LORD said unto her, Two nations are in thy womb, and two manner of people shall be separated from thy bowels; and the one people shall be stronger than the other people; and the elder shall serve the younger."
165,Ro 9:13,"Mal 1:2,3","I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? Was not Esau Jacob's brother? saith the LORD: yet I loved Jacob,"
166,Ro 9:15,Ex 33:19,"And he said, I will make all my goodness pass before thee, and I will proclaim the name of the LORD before thee; and will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy."
167,Ro 9:17,Ex 9:16,"And in very deed for this cause have I raised thee up, for to show in thee my power; and that my name may be declared throughout all the earth."
168,Ro 9:25,Ho 2:23,"And I will sow her unto me in the earth; and I will have mercy upon her that had not obtained mercy; and I will say to them which were not my people, Thou art my people; and they shall say, Thou art my God."
169,Ro 9:26,Ho 1:10,"Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, that in the place where it was said unto them, Ye are not my people, there it shall be said unto them, Ye are the sons of the living God."
170,"Ro 9:27,28","Isa 10:22,23","For though thy people Israel be as the sand of the sea, yet a remnant of them shall return: the consumption decreed shall overflow with righteousness."
171,Ro 9:29,Isa 1:9,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah."
172,Ro 9:33,Isa 8:14,"And he shall be for a sanctuary; but for a stone of stumbling and for a rock of offence to both the houses of Israel, for a gin and for a snare to the inhabitants of Jerusalem."
173,Ro 9:33,Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
174,Ro 10:5,Le 18:5,"Ye shall therefore keep my statutes, and my judgments: which if a man do, he shall live in them: I am the LORD."
175,Ro 10:5,Eze 20:11,"And I gave them my statutes, and shewed them my judgments, which if a man do, he shall even live in them."
176,Ro 10:8,De 30:14,"But the word is very nigh unto thee, in thy mouth, and in thy heart, that thou mayest do it."
177,Ro 10:11,Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
178,Ro 10:13,Joe 2:32,"And it shall come to pass, that whosoever shall call on the name of the LORD shall be delivered: for in mount Zion and in Jerusalem shall be deliverance, as the LORD hath said, and in the remnant whom the LORD shall call."
179,Ro 10:15,Isa 52:7,"How beautiful upon the mountains are the feet of him that bringeth good tidings, that publisheth peace; that bringeth good tidings of good, that publisheth salvation; that saith unto Zion, Thy God reigneth!"
180,Ro 10:15,Na 1:15,"Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off."
181,Ro 10:16,Isa 53:1,Who hath believed our report? and to whom is the arm of the LORD revealed?
182,Ro 10:18,Ps 19:4,"Their line is gone out through all the earth, and their words to the end of the world. In them hath he set a tabernacle for the sun,"
183,Ro 10:19,De 32:21,They have moved me to jealousy with that which is not God; they have provoked me to anger with their vanities: and I will move them to jealousy with those which are not a people; I will provoke them to anger with a foolish nation.
184,"Ro 10:20,21","Isa 65:1,2","I am sought of them that asked not for me; I am found of them that sought me not: I said, Behold me, behold me, unto a nation that was not called by my name."
185,Ro 11:3,"1Ki 19:10,14","And he said, I have been very jealous for the LORD God of hosts: for the children of Israel have forsaken thy covenant, thrown down thine altars, and slain thy prophets with the sword; and I, even I only, am left; and they seek my life, to take it away."
186,Ro 11:4,1Ki 19:18,"Yet I have left me seven thousand in Israel, all the knees which have not bowed unto Baal, and every mouth which hath not kissed him."
187,Ro 11:8,Isa 29:10,"For the LORD hath poured out upon you the spirit of deep sleep, and hath closed your eyes: the prophets and your rulers, the seers hath he covered."
188,"Ro 11:9,10","Ps 69:22,23","Let their table become a snare before them: and that which should have been for their welfare, let it become a trap."
189,"Ro 11:26,27","Isa 59:20,21","And the Redeemer shall come to Zion, and unto them that turn from transgression in Jacob, saith the LORD."
190,Ro 11:34,Isa 40:13,"Who hath directed the Spirit of the LORD, or being his counsellor hath taught him?"
191,Ro 12:16,Pr 3:7,"Be not wise in thine own eyes: fear the LORD, and depart from evil."
192,Ro 12:19,De 32:35,"To me belongeth vengeance and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste."
193,Ro 12:20,"Pr 25:21,22","If thine enemy be hungry, give him bread to eat; and if he be thirsty, give him water to drink:"
194,Ro 13:9,"Ex 20:13,17",Thou shalt not kill.
195,Ro 13:9,De 5:16-21,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
196,Ro 13:9,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
197,Ro 14:11,Isa 45:23,"I have sworn by myself, the word is gone out of my mouth in righteousness, and shall not return, That unto me every knee shall bow, every tongue shall swear."
198,Ro 15:3,Ps 69:9,For the zeal of thine house hath eaten me up; and the reproaches of them that reproached thee are fallen upon me.
199,Ro 15:9,Ps 18:49,"Therefore will I give thanks unto thee, O LORD, among the heathen, and sing praises unto thy name."
200,Ro 15:10,De 32:43,"Rejoice, O ye nations, with his people: for he will avenge the blood of his servants, and will render vengeance to his adversaries, and will be merciful unto his land, and to his people."
201,Ro 15:11,Ps 117:1,"O praise the LORD, all ye nations: praise him, all ye people."
202,Ro 15:12,"Isa 11:1,10","And there shall come forth a rod out of the stem of Jesse, and a Branch shall grow out of his roots:"
203,Ro 15:21,Isa 52:15,So shall he sprinkle many nations; the kings shall shut their mouths at him: for that which had not been told them shall they see; and that which they had not heard shall they consider.
204,1Co 1:19,Isa 29:14,"Therefore, behold, I will proceed to do a marvellous work among this people, even a marvellous work and a wonder: for the wisdom of their wise men shall perish, and the understanding of their prudent men shall be hid."
205,1Co 1:31,Jer 9:24,"But let him that glorieth glory in this, that he understandeth and knoweth me, that I am the LORD which exercise lovingkindness, judgment, and righteousness, in the earth: for in these things I delight, saith the LORD."
206,1Co 2:9,Isa 64:4,"For since the beginning of the world men have not heard, nor perceived by the ear, neither hath the eye seen, O God, beside thee, what he hath prepared for him that waiteth for him."
207,1Co 2:16,Isa 40:13,"Who hath directed the Spirit of the LORD, or being his counsellor hath taught him?"
208,1Co 3:19,Job 5:13,He taketh the wise in their own craftiness: and the counsel of the froward is carried headlong.
209,1Co 3:20,Ps 94:11,"The LORD knoweth the thoughts of man, that they are vanity."
210,1Co 6:16,Ge 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
211,1Co 9:9,De 25:4,Thou shalt not muzzle the ox when he treadeth out the corn.
212,1Co 10:7,Ex 32:6,"And they rose up early on the morrow, and offered burnt offerings, and brought peace offerings; and the people sat down to eat and to drink, and rose up to play."
213,1Co 10:20,De 32:17,"They sacrificed unto devils, not to God; to gods whom they knew not, to new gods that came newly up, whom your fathers feared not."
214,1Co 10:26,Ps 24:1,"The earth is the LORD's, and the fulness thereof; the world, and they that dwell therein."
215,1Co 14:21,"Isa 28:11,12",For with stammering lips and another tongue will he speak to this people.
216,1Co 15:25,Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
217,1Co 15:27,Ps 8:6,Thou madest him to have dominion over the works of thy hands; thou hast put all things under his feet:
218,1Co 15:32,Isa 22:13,"And behold joy and gladness, slaying oxen, and killing sheep, eating flesh, and drinking wine: let us eat and drink; for to morrow we shall die."
219,1Co 15:45,Ge 2:7,"And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul."
220,1Co 15:54,Isa 25:8,He will swallow up death in victory; and the Lord GOD will wipe away tears from off all faces; and the rebuke of his people shall he take away from off all the earth: for the LORD hath spoken it.
221,1Co 15:55,Ho 13:14,"I will ransom them from the power of the grave; I will redeem them from death: O death, I will be thy plagues; O grave, I will be thy destruction: repentance shall be hid from mine eyes."
222,2Co 4:13,Ps 116:10,"I believed, therefore have I spoken: I was greatly afflicted:"
223,2Co 5:17,"Isa 43:18,19","Remember ye not the former things, neither consider the things of old."
224,2Co 6:2,Isa 49:8,"Thus saith the LORD, In an acceptable time have I heard thee, and in a day of salvation have I helped thee: and I will preserve thee, and give thee for a covenant of the people, to establish the earth, to cause to inherit the desolate heritages;"
225,2Co 6:16,"Le 26:11,12",And I set my tabernacle among you: and my soul shall not abhor you.
226,"2Co 6:17,18","Isa 52:11,12","Depart ye, depart ye, go ye out from thence, touch no unclean thing; go ye out of the midst of her; be ye clean, that bear the vessels of the LORD."
227,"2Co 6:17,18",Jer 31:9,"They shall come with weeping, and with supplications will I lead them: I will cause them to walk by the rivers of waters in a straight way, wherein they shall not stumble: for I am a father to Israel, and Ephraim is my firstborn."
228,"2Co 6:17,18",2Sa 7:14,"I will be his father, and he shall be my son. If he commit iniquity, I will chasten him with the rod of men, and with the stripes of the children of men:"
229,2Co 8:15,Ex 16:18,"And when they did mete it with an omer, he that gathered much had nothing over, and he that gathered little had no lack; they gathered every man according to his eating."
230,2Co 9:9,Ps 112:9,"He hath dispersed, he hath given to the poor; his righteousness endureth for ever; his horn shall be exalted with honour."
231,2Co 10:17,Jer 9:24,"But let him that glorieth glory in this, that he understandeth and knoweth me, that I am the LORD which exercise lovingkindness, judgment, and righteousness, in the earth: for in these things I delight, saith the LORD."
232,2Co 13:1,De 19:15,"One witness shall not rise up against a man for any iniquity, or for any sin, in any sin that he sinneth: at the mouth of two witnesses, or at the mouth of three witnesses, shall the matter be established."
233,Ga 2:6,De 10:17,"For the LORD your God is God of gods, and Lord of lords, a great God, a mighty, and a terrible, which regardeth not persons, nor taketh reward:"
234,Ga 3:8,Ge 12:3,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed."
235,Ga 3:10,De 27:26,"Cursed be he that confirmeth not all the words of this law to do them. And all the people shall say, Amen."
236,Ga 3:11,Hab 2:4,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith."
237,Ga 3:12,Le 18:5,"Ye shall therefore keep my statutes, and my judgments: which if a man do, he shall live in them: I am the LORD."
238,Ga 3:13,De 21:23,"His body shall not remain all night upon the tree, but thou shalt in any wise bury him that day; (for he that is hanged is accursed of God;) that thy land be not defiled, which the LORD thy God giveth thee for an inheritance."
239,Ga 3:16,Ge 22:18,And in thy seed shall all the nations of the earth be blessed; because thou hast obeyed my voice.
240,Ga 4:27,Isa 54:1,"Sing, O barren, thou that didst not bear; break forth into singing, and cry aloud, thou that didst not travail with child: for more are the children of the desolate than the children of the married wife, saith the LORD."
241,Ga 4:30,Ge 21:10,"Wherefore she said unto Abraham, Cast out this bondwoman and her son: for the son of this bondwoman shall not be heir with my son, even with Isaac."
242,Ga 5:14,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
243,Eph 4:8,Ps 68:18,"Thou hast ascended on high, thou hast led captivity captive: thou hast received gifts for men; yea, for the rebellious also, that the LORD God might dwell among them."
244,Eph 4:25,Zec 8:16,These are the things that ye shall do; Speak ye every man the truth to his neighbour; execute the judgment of truth and peace in your gates:
245,Eph 4:26,Ps 4:4,"Stand in awe, and sin not: commune with your own heart upon your bed, and be still. Selah."
246,Eph 5:31,Ge 2:4,"These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,"
247,"Eph 6:2,3",Ex 20:12,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
248,"Eph 6:2,3",De 5:16,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
249,1Ti 5:18,De 25:4,Thou shalt not muzzle the ox when he treadeth out the corn.
250,Heb 1:5,Ps 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
251,Heb 1:5,2Sa 7:14,"I will be his father, and he shall be my son. If he commit iniquity, I will chasten him with the rod of men, and with the stripes of the children of men:"
252,Heb 1:6,Ps 97:7,"Confounded be all they that serve graven images, that boast themselves of idols: worship him, all ye gods."
253,Heb 1:7,Ps 104:4,Who maketh his angels spirits; his ministers a flaming fire:
254,"Heb 1:8,9","Ps 45:6,7","Thy throne, O God, is for ever and ever: the sceptre of thy kingdom is a right sceptre."
255,"Heb 1:10,11,12","Ps 102:25,26,27",Of old hast thou laid the foundation of the earth: and the heavens are the work of thy hands.
256,Heb 1:13,Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
257,Heb 2:6-8,Ps 8:4-6,"What is man, that thou art mindful of him? and the son of man, that thou visitest him?"
258,Heb 2:12,Ps 22:22,I will declare thy name unto my brethren: in the midst of the congregation will I praise thee.
259,Heb 2:13,Isa 8:18,"Behold, I and the children whom the LORD hath given me are for signs and for wonders in Israel from the LORD of hosts, which dwelleth in mount Zion."
260,Heb 2:13,Ps 18:2,"The LORD is my rock, and my fortress, and my deliverer; my God, my strength, in whom I will trust; my buckler, and the horn of my salvation, and my high tower."
261,Heb 2:13,2Sa 22:2,"And he said, The LORD is my rock, and my fortress, and my deliverer;"
262,Heb 3:7-11,Ps 95:7-11,"For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,"
263,Heb 3:15,Ps 95:7-11,"For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,"
264,Heb 4:3,Ps 95:11,Unto whom I sware in my wrath that they should not enter into my rest.
265,Heb 4:4,"Ge 2:2,3",And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
266,Heb 4:7,"Ps 95:7,8","For he is our God; and we are the people of his pasture, and the sheep of his hand. To day if ye will hear his voice,"
267,Heb 5:5,Ps 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
268,Heb 5:6,Ps 110:4,"The LORD hath sworn, and will not repent, Thou art a priest for ever after the order of Melchizedek."
269,Heb 6:14,"Ge 22:16,17","And said, By myself have I sworn, saith the LORD, for because thou hast done this thing, and hast not withheld thy son, thine only son:"
270,"Heb 7:17,21",Ps 110:4,"The LORD hath sworn, and will not repent, Thou art a priest for ever after the order of Melchizedek."
271,Heb 8:5,Ex 25:40,"And look that thou make them after their pattern, which was showed thee in the mount."
272,Heb 8:8-12,Jer 31:31-34,"Behold, the days come, saith the LORD, that I will make a new covenant with the house of Israel, and with the house of Judah:"
273,Heb 9:20,Ex 24:8,"And Moses took the blood, and sprinkled it on the people, and said, Behold the blood of the covenant, which the LORD hath made with you concerning all these words."
274,Heb 10:5-7,Ps 40:6-8,Sacrifice and offering thou didst not desire; mine ears hast thou opened: burnt offering and sin offering hast thou not required.
275,"Heb 10:16,17","Jer 31:33,34","But this shall be the covenant that I will make with the house of Israel; After those days, saith the LORD, I will put my law in their inward parts, and write it in their hearts; and will be their God, and they shall be my people."
276,Heb 10:30,"De 32:35,36","To me belongeth vengeance and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste."
277,"Heb 10:37,38","Hab 2:3,4","For the vision is yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry."
278,Heb 11:21,Ge 47:31,"And he said, Swear unto me. And he sware unto him. And Israel bowed himself upon the bed's head."
279,"Heb 12:5,6","Pr 3:11,12","My son, despise not the chastening of the LORD; neither be weary of his correction:"
280,Heb 12:20,"Ex 19:12,13","And thou shalt set bounds unto the people round about, saying, Take heed to yourselves, that ye go not up into the mount, or touch the border of it: whosoever toucheth the mount shall be surely put to death:"
281,Heb 12:21,De 9:19,"For I was afraid of the anger and hot displeasure, wherewith the LORD was wroth against you to destroy you. But the LORD hearkened unto me at that time also."
282,Heb 12:26,Hag 2:6,"For thus saith the LORD of hosts; Yet once, it is a little while, and I will shake the heavens, and the earth, and the sea, and the dry land;"
283,Heb 12:29,De 4:24,"For the LORD thy God is a consuming fire, even a jealous God."
284,Heb 13:5,De 31:8,"And the LORD, he it is that doth go before thee; he will be with thee, he will not fail thee, neither forsake thee: fear not, neither be dismayed."
285,Heb 13:5,Jos 1:5,"There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee: I will not fail thee, nor forsake thee."
286,Heb 13:6,Ps 118:6,The LORD is on my side; I will not fear: what can man do unto me?
287,Jas 2:8,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
288,Jas 2:11,"Ex 20:13,14,15",Thou shalt not kill.
289,Jas 2:23,Ge 15:6,And he believed in the LORD; and he counted it to him for righteousness.
290,Jas 4:6,Pr 3:34,Surely he scorneth the scorners: but he giveth grace unto the lowly.
291,1Pe 1:16,Le 11:44,"For I am the LORD your God: ye shall therefore sanctify yourselves, and ye shall be holy; for I am holy: neither shall ye defile yourselves with any manner of creeping thing that creepeth upon the earth."
292,"1Pe 1:24,25",Isa 40:6,"The voice said, Cry. And he said, What shall I cry? All flesh is grass, and all the goodliness thereof is as the flower of the field:"
293,1Pe 2:6,Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
294,1Pe 2:7,"Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
295,1Pe 2:9,Ex 19:6,"And ye shall be unto me a kingdom of priests, and an holy nation. These are the words which thou shalt speak unto the children of Israel."
296,1Pe 2:22,Isa 53:9,"And he made his grave with the wicked, and with the rich in his death; because he had done no violence, neither was any deceit in his mouth."
297,1Pe 2:24,"Isa 53:4,5","Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted."
298,"1Pe 3:10,11,12",Ps 34:12-16,"What man is he that desireth life, and loveth many days, that he may see good?"
299,1Pe 4:8,Pr 10:12,Hatred stirreth up strifes: but love covereth all sins.
300,2Pe 2:22,Pr 26:11,"As a dog returneth to his vomit, so a fool returneth to his folly."
301,Re 7:16,Isa 49:10,"They shall not hunger nor thirst; neither shall the heat nor sun smite them: for he that hath mercy on them shall lead them, even by the springs of water shall he guide them."
302,Re 7:17,Isa 25:8,He will swallow up death in victory; and the Lord GOD will wipe away tears from off all faces; and the rebuke of his people shall he take away from off all the earth: for the LORD hath spoken it.
303,Re 15:4,Jer 10:6,"Forasmuch as there is none like unto thee, O LORD; thou art great, and thy name is great in might."
304,Re 15:4,Ps 86:9,"All nations whom thou hast made shall come and worship before thee, O Lord; and shall glorify thy name."
305,Re 18:2,Isa 21:9,"And, behold, here cometh a chariot of men, with a couple of horsemen. And he answered and said, Babylon is fallen, is fallen; and all the graven images of her gods he hath broken unto the ground."
306,Re 18:3,Jer 51:7,"Babylon hath been a golden cup in the LORD's hand, that made all the earth drunken: the nations have drunken of her wine; therefore the nations are mad."
